Date,Open,High,Low,Close,Volume
2024-07-29,22400.0,22511.0,22150.0,22259.0,20226.0
2024-07-30,21930.0,22300.0,21810.0,22259.0,31555.0
2024-07-31,21999.0,22348.0,21999.0,22288.0,30497.0
2024-08-01,22719.0,22727.0,22461.0,22655.0,32229.0
2024-08-02,22008.0,22099.0,21508.0,21536.0,47865.0
2024-08-05,20737.0,20747.0,19374.0,19374.0,75624.0
2024-08-06,20395.0,20788.0,19604.0,20422.0,88059.0
2024-08-07,20461.0,21334.0,20401.0,21135.0,74527.0
2024-08-08,20700.0,21080.0,20550.0,20693.0,79361.0
2024-08-09,21339.0,21591.0,21140.0,21475.0,83515.0
2024-08-12,21620.0,21894.0,21604.0,21671.0,61240.0
2024-08-13,21835.0,21898.0,21663.0,21770.0,49681.0
2024-08-14,22149.0,22156.0,21910.0,21983.0,52486.0
2024-08-15,21990.0,22114.0,21837.0,21844.0,49300.0
2024-08-16,22366.0,22445.0,22278.0,22369.0,41632.0
2024-08-19,22396.0,22520.0,22321.0,22356.0,45172.0
2024-08-20,22557.0,22573.0,22390.0,22438.0,33764.0
2024-08-21,22288.0,22343.0,22152.0,22199.0,25707.0
2024-08-22,22232.0,22275.0,22026.0,22101.0,44256.0
2024-08-23,21917.0,22170.0,21868.0,22123.0,50679.0
2024-08-26,22245.0,22450.0,22133.0,22205.0,57549.0
2024-08-27,22114.0,22207.0,21998.0,22154.0,43332.0
2024-08-28,22202.0,22411.0,22050.0,22401.0,55392.0
2024-08-29,22000.0,22244.0,21901.0,22175.0,58194.0
2024-08-30,22291.0,22364.0,22213.0,22320.0,45522.0
2024-09-02,22320.0,22445.0,22173.0,22220.0,54744.0
2024-09-03,22200.0,22313.0,22012.0,22060.0,53582.0
2024-09-04,21230.0,21344.0,20826.0,20938.0,91334.0
2024-09-05,21297.0,21452.0,21057.0,21179.0,67446.0
2024-09-06,21271.0,21433.0,21015.0,21318.0,74916.0
2024-09-09,20677.0,21124.0,20625.0,21078.0,78748.0
2024-09-10,21250.0,21258.0,20906.0,20995.0,82150.0
2024-09-11,21110.0,21128.0,20950.0,21006.0,58980.0
2024-09-12,21575.0,21779.0,21463.0,21711.0,66409.0
2024-09-13,21776.0,21832.0,21658.0,21818.0,42341.0
2024-09-16,21818.0,21868.0,21735.0,21813.0,32164.0
2024-09-18,21736.0,21874.0,21562.0,21618.0,34588.0
2024-09-19,21751.0,22080.0,21663.0,22075.0,64390.0
2024-09-20,22346.0,22425.0,22188.0,22216.0,58892.0
2024-09-23,22280.0,22391.0,22258.0,22340.0,44714.0
2024-09-24,22305.0,22507.0,22153.0,22493.0,62295.0
2024-09-25,22833.0,22859.0,22740.0,22794.0,43394.0
2024-09-26,23007.0,23076.0,22894.0,22957.0,52820.0
2024-09-27,23199.0,23199.0,22877.0,22885.0,65109.0
2024-09-30,22668.0,22755.0,22315.0,22326.0,75967.0
2024-10-01,22242.0,22462.0,22237.0,22390.0,54433.0
2024-10-04,22302.0,22506.0,22251.0,22286.0,70467.0
2024-10-07,22570.0,22807.0,22538.0,22777.0,62296.0
2024-10-08,22603.0,22631.0,22394.0,22580.0,60433.0
2024-10-09,22781.0,22880.0,22668.0,22699.0,54140.0
2024-10-11,22822.0,23048.0,22796.0,22912.0,55204.0
2024-10-14,23000.0,23048.0,22820.0,23005.0,48232.0
