Date,Open,High,Low,Close,Volume
2024-07-29,22400.0,22511.0,22150.0,22259.0,20226.0
2024-07-30,22260.0,22300.0,21810.0,22259.0,53239.0
2024-07-31,22252.0,22348.0,21780.0,22288.0,61781.0
2024-08-01,22335.0,22727.0,22335.0,22655.0,64239.0
2024-08-02,22595.0,22636.0,21508.0,21536.0,101158.0
2024-08-05,21497.0,21524.0,19374.0,19374.0,139068.0
2024-08-06,19368.0,20788.0,18810.0,20422.0,204211.0
2024-08-07,20349.0,21334.0,19952.0,21135.0,170209.0
2024-08-08,21063.0,21431.0,20550.0,20693.0,188552.0
2024-08-09,20794.0,21591.0,20564.0,21475.0,183528.0
2024-08-12,21500.0,21894.0,21333.0,21671.0,167539.0
2024-08-13,21650.0,21923.0,21566.0,21770.0,124998.0
2024-08-14,21800.0,22156.0,21692.0,21983.0,115162.0
2024-08-15,22011.0,22199.0,21732.0,21844.0,140866.0
2024-08-16,21836.0,22445.0,21758.0,22369.0,120192.0
2024-08-19,22374.0,22520.0,22167.0,22356.0,107850.0
2024-08-20,22340.0,22578.0,22243.0,22438.0,80881.0
2024-08-21,22438.0,22495.0,22152.0,22199.0,65918.0
2024-08-22,22214.0,22300.0,22015.0,22101.0,117181.0
2024-08-23,22150.0,22295.0,21767.0,22123.0,140542.0
2024-08-26,22113.0,22450.0,22077.0,22205.0,145480.0
2024-08-27,22192.0,22310.0,21994.0,22154.0,103937.0
2024-08-28,22155.0,22411.0,22050.0,22401.0,119589.0
2024-08-29,22416.0,22548.0,21901.0,22175.0,149858.0
2024-08-30,22195.0,22478.0,22192.0,22320.0,123306.0
2024-09-02,22316.0,22445.0,22095.0,22220.0,124418.0
2024-09-03,22214.0,22313.0,22012.0,22060.0,90158.0
2024-09-04,22078.0,22149.0,20826.0,20938.0,198817.0
2024-09-05,20943.0,21452.0,20915.0,21179.0,173384.0
2024-09-06,21169.0,21470.0,21015.0,21318.0,184698.0
2024-09-09,21300.0,21508.0,20550.0,21078.0,249226.0
2024-09-10,21125.0,21345.0,20906.0,20995.0,168176.0
2024-09-11,21006.0,21183.0,20820.0,21006.0,162677.0
2024-09-12,21054.0,21779.0,20881.0,21711.0,210001.0
2024-09-13,21705.0,21894.0,21580.0,21818.0,134449.0
2024-09-16,21798.0,21892.0,21735.0,21813.0,85279.0
2024-09-18,21803.0,21874.0,21562.0,21618.0,84436.0
2024-09-19,21712.0,22080.0,21608.0,22075.0,138914.0
2024-09-20,22104.0,22434.0,22085.0,22216.0,141770.0
2024-09-23,22219.0,22391.0,22099.0,22340.0,110475.0
2024-09-24,22300.0,22507.0,22153.0,22493.0,114515.0
2024-09-25,22550.0,22901.0,22505.0,22794.0,128275.0
2024-09-26,22760.0,23076.0,22750.0,22957.0,121126.0
2024-09-27,23000.0,23394.0,22877.0,22885.0,175231.0
2024-09-30,22870.0,22981.0,22315.0,22326.0,179634.0
2024-10-01,22333.0,22462.0,22006.0,22390.0,149133.0
2024-10-04,22400.0,22506.0,21892.0,22286.0,195400.0
2024-10-07,22317.0,22807.0,22231.0,22777.0,164540.0
2024-10-08,22754.0,22758.0,22394.0,22580.0,137281.0
2024-10-09,22599.0,22880.0,22545.0,22699.0,127296.0
2024-10-11,22676.0,23048.0,22575.0,22912.0,124539.0
2024-10-14,22905.0,23075.0,22817.0,23005.0,100818.0
2024-10-15,23045.0,23385.0,23018.0,23227.0,89476.0
2024-10-16,23215.0,23262.0,22811.0,22997.0,106703.0
2024-10-17,23061.0,23275.0,23003.0,23258.0,124428.0
2024-10-18,23467.0,23987.0,23451.0,23660.0,195534.0
2024-10-21,23681.0,23883.0,23568.0,23580.0,110860.0
2024-10-22,23567.0,23686.0,23333.0,23621.0,141140.0
2024-10-23,23601.0,23666.0,23338.0,23405.0,118620.0
2024-10-24,23414.0,23464.0,23135.0,23298.0,163880.0
2024-10-25,23294.0,23482.0,23208.0,23479.0,110165.0
2024-10-28,23468.0,23707.0,23215.0,23321.0,148710.0
2024-10-29,23330.0,23385.0,22694.0,22976.0,150496.0
2024-10-30,23017.0,23140.0,22848.0,22898.0,119757.0
2024-11-01,22928.0,22993.0,22234.0,22778.0,159360.0
2024-11-04,22750.0,23042.0,22694.0,23036.0,129790.0
2024-11-05,23040.0,23204.0,22781.0,23137.0,126258.0
2024-11-06,23148.0,23446.0,23048.0,23324.0,152045.0
2024-11-07,23373.0,23575.0,22938.0,23528.0,197912.0
2024-11-08,23550.0,23792.0,23478.0,23778.0,129917.0
2024-11-11,23767.0,23841.0,23311.0,23575.0,155906.0
2024-11-12,23553.0,23566.0,22863.0,22869.0,168196.0
2024-11-13,22873.0,23014.0,22574.0,22781.0,175509.0
2024-11-14,22820.0,23075.0,22578.0,22684.0,186163.0
2024-11-15,22639.0,22928.0,22591.0,22761.0,140218.0
2024-11-18,22737.0,22830.0,22472.0,22572.0,143047.0
2024-11-19,22592.0,22968.0,22338.0,22854.0,136351.0
2024-11-20,22874.0,22955.0,22654.0,22689.0,108614.0
2024-11-21,22800.0,22820.0,22499.0,22573.0,152795.0
2024-11-22,22575.0,23065.0,22395.0,23036.0,208663.0
2024-11-25,23060.0,23288.0,22978.0,23065.0,124216.0
2024-11-26,23030.0,23032.0,22616.0,22635.0,131983.0
2024-11-27,22637.0,22760.0,22341.0,22346.0,134020.0
2024-11-28,22388.0,22467.0,22050.0,22338.0,163623.0
2024-11-29,22332.0,22437.0,22005.0,22312.0,113432.0
2024-12-02,22297.0,22825.0,22160.0,22824.0,137100.0
2024-12-03,22839.0,23176.0,22804.0,23110.0,114963.0
2024-12-04,23090.0,23293.0,22936.0,23292.0,128483.0
2024-12-05,23270.0,23363.0,23187.0,23256.0,97409.0
2024-12-06,23260.0,23451.0,23136.0,23179.0,103899.0
2024-12-09,23200.0,23327.0,23171.0,23248.0,94685.0
2024-12-10,23239.0,23477.0,23028.0,23088.0,127545.0
2024-12-11,23080.0,23143.0,22826.0,22850.0,119561.0
2024-12-12,22860.0,23210.0,22801.0,23107.0,106735.0
2024-12-13,23098.0,23142.0,22851.0,22985.0,115367.0
2024-12-16,23000.0,23268.0,22935.0,22965.0,122535.0
2024-12-17,22976.0,23214.0,22963.0,23034.0,88132.0
2024-12-18,23025.0,23198.0,22838.0,23107.0,88067.0
2024-12-19,23187.0,23384.0,22607.0,22852.0,156453.0
2024-12-20,22848.0,22972.0,22591.0,22632.0,142235.0
2024-12-23,22666.0,23242.0,22521.0,23238.0,160124.0
2024-12-24,23249.0,23449.0,23150.0,23215.0,117179.0
2024-12-25,23219.0,23374.0,23212.0,23329.0,72226.0
2024-12-26,23332.0,23418.0,23278.0,23325.0,46114.0
2024-12-27,23311.0,23375.0,23155.0,23373.0,84155.0
2024-12-30,23376.0,23389.0,23090.0,23172.0,101463.0
2024-12-31,23164.0,23194.0,22925.0,23048.0,107843.0
2025-01-02,23029.0,23164.0,22690.0,22842.0,124032.0
2025-01-03,22850.0,23106.0,22733.0,22978.0,141235.0
2025-01-06,22979.0,23620.0,22940.0,23611.0,124086.0
2025-01-07,23639.0,23990.0,23618.0,23751.0,123583.0
2025-01-08,23765.0,23893.0,23441.0,23455.0,127040.0
2025-01-09,23419.0,23487.0,23084.0,23099.0,141188.0
2025-01-10,23090.0,23192.0,22957.0,23052.0,93887.0
2025-01-13,23025.0,23175.0,22431.0,22530.0,173498.0
2025-01-14,22540.0,22766.0,22316.0,22755.0,117616.0
2025-01-15,22740.0,22820.0,22494.0,22517.0,89874.0
2025-01-16,22530.0,23215.0,22520.0,23032.0,149394.0
2025-01-17,23218.0,23528.0,22956.0,23195.0,178856.0
2025-01-20,23218.0,23416.0,23191.0,23349.0,107297.0
2025-01-21,23340.0,23437.0,23172.0,23368.0,110099.0
2025-01-22,23360.0,23720.0,23328.0,23700.0,102491.0
2025-02-03,23674.0,23838.0,22569.0,22595.0,120564.0
2025-02-04,22608.0,22941.0,22592.0,22825.0,115667.0
2025-02-05,22830.0,23281.0,22830.0,23134.0,95117.0
2025-02-06,23137.0,23378.0,23051.0,23293.0,93885.0
2025-02-07,23292.0,23464.0,23244.0,23432.0,85494.0
2025-02-10,23427.0,23526.0,23167.0,23242.0,131321.0
2025-02-11,23235.0,23501.0,23235.0,23341.0,84444.0
2025-02-12,23330.0,23535.0,23216.0,23310.0,103911.0
2025-02-13,23330.0,23451.0,23151.0,23401.0,120334.0
2025-02-14,23398.0,23398.0,23117.0,23175.0,119969.0
2025-02-17,23169.0,23538.0,23065.0,23508.0,102303.0
2025-02-18,23524.0,23663.0,23465.0,23650.0,48241.0
2025-02-19,23675.0,23703.0,23519.0,23610.0,57838.0
2025-02-20,23621.0,23669.0,23374.0,23533.0,107483.0
2025-02-21,23538.0,23760.0,23470.0,23750.0,112999.0
2025-02-24,23765.0,23780.0,23422.0,23552.0,114788.0
2025-02-25,23548.0,23592.0,23140.0,23295.0,131543.0
2025-02-26,23255.0,23419.0,23050.0,23419.0,144431.0
2025-02-27,23428.0,23588.0,23126.0,23190.0,152458.0
